provider,website,contact,email,phone,extension,East of England,East Midlands,Greater London,North East,North West,South East,South West,West Midlands,Yorkshire and the Humber,National,Outside of the UK,international_phone,region,
2Schools Consortium (Oakthorpe Primary School),https://2schools.org/assessment-only-route/,Isabella Mora,training@oakthorpe.enfield.sch.uk,020 8807 6906,,,,Greater London,,,,,,,,,+442088076906,Greater London,
Ambition Teacher Training,https://www.ambition.org.uk/programmes/assessment-only/,Genevieve Taylor-Field,TeacherTraining@Ambition.org.uk,020 3846 5828,,,,,,,,,,,National,,+442038465828,National,
Arthur Terry SCITT,https://arthurterryteachingschool.atlp.org.uk/train-to-teach/assessment-only-qts/,Cathryn Mortimer,cmortimer@atlp.org.uk,0121 323 1128,,,,,,,,,West Midlands,,,,+441213231128,West Midlands,
Ashton on Mersey SCITT,https://aomscitt.co.uk/programmes/assessment-only/,Karen Craven,karencraven@thedeantrust.co.uk,0161 973 1179,ext 2289,,,,,North West,,,,,,,+441619731179,North West,
Associated Merseyside Partnership SCITT,https://www.amp-scitt.lydiatelearningtrust.co.uk,Gill Parkinson,g.parkinson@ampscitt.co.uk,0151 832 4340,,,,,,North West,,,,,,,+441518324340,North West,
Astra SCITT,https://www.astra-alliance.com/40/astra-assessment-only-route-to-qts,Thahera Konkader,thahera@astra-alliance.com,01494 787573,,,,,,,South East,,,,,,+441494787573,South East,
Barr Beacon SCITT,https://www.careerinteaching.co.uk/assessment-only/,Michael Eszrenyi,meszrenyi@matrixacademytrust.co.uk,0121 366 6600,,,,,,,,,West Midlands,,,,+441213666600,West Midlands,
Bath Spa University,https://www.bathspa.ac.uk/courses/qts-assessment-only/,Kerry-Anne Barber,assessmentonly@bathspa.ac.uk,01225 875696,,,,,,,,South West,,,,,+441225875696,South West,
Birmingham City University,https://www.bcu.ac.uk/subject-areas/education-and-teacher-training/assessment-only,Emma Barnes,emma.barnes@bcu.ac.uk,0121 331 5000,,,,,,,,,West Midlands,,,,+441213315000,West Midlands,
Bishop Challoner Training School,https://www.bctsa.org/1299/assessment-only-qts,Ali Marsh,a.marsh@bishopchalloner.bham.sch.uk,0121 441 6175,,,,,,,,,West Midlands,,,,+441214416175,West Midlands,
Bournemouth Bay Teacher Training Partnership,https://bournemouthbay-partnership.com/about-us/,James Mosley,J.Mosley@poolehigh.poole.sch.uk,01202 662038,,,,Greater London,,,South East,South West,,,,,+441202662038,Greater London; South East; South West,
Bright Futures SCITT,https://www.bright-futures.co.uk/pdi/bright-futures-scitt/our-programmes/assessment-only-route-to-qts-aor/,Hilary Langmead-Jones,admin@scitt.bright-futures.co.uk,07549 025620,,,,,,North West,,,,,,,+447549025620,North West,
Bromley Schools' Collegiate,https://www.bscteach.co.uk/assessment-only-route-to-qts/,Derek Boyle,administrator@gradteach.uk,02083006566,,,,Greater London,,,South East,,,,,,+442083006566,Greater London; South East,
